id,name,semester,hours,assessment_type,lecturer_id
44,Правоведение (Сем. 4),4,36,Зачет,61
45,Безопасность жизнедеятельности (Сем. 3),3,108,Зачет,61
46,Русский язык и культура речи (Сем. 4),4,72,Зачет,62
47,История России (Сем. 3),3,252,Зачет,62
48,Безопасность жизнедеятельности (Сем. 4),4,216,Зачет,61
49,Иностранный язык (Сем. 3),3,72,Зачет,61
50,Безопасность жизнедеятельности (Сем. 4),4,108,Зачет,62
51,Физическая культура и спорт (Сем. 3),3,36,Зачет,63
52,История России (Сем. 4),4,216,Зачет,61
53,Правоведение (Сем. 3),3,180,Экзамен,62
54,Русский язык и культура речи (Сем. 4),4,108,Зачет,63
55,История архитектуры (Сем. 3),3,180,Зачет,63
56,Безопасность жизнедеятельности (Сем. 4),4,216,Зачет,63
57,Безопасность жизнедеятельности (Сем. 3),3,216,Зачет,63
58,Железобетонные конструкции (Сем. 4),4,180,Зачет,62
59,История России (Сем. 3),3,108,Зачет,61
60,Физическая культура и спорт (Сем. 4),4,180,Зачет,62
61,Сетевые технологии (Сем. 5),5,180,Зачет,51
62,Базы данных (Сем. 6),6,108,Зачет,49
63,Сетевые технологии (Сем. 5),5,216,Зачет,49
64,Операционные системы (Сем. 6),6,36,Экзамен,49
65,Базы данных (Сем. 5),5,144,Зачет,51
66,Информационная безопасность (Сем. 6),6,144,Зачет,49
67,Объектно-ориентированное программирование (Сем. 5),5,252,Экзамен,50
68,Алгоритмы и структуры данных (Сем. 6),6,36,Экзамен,49
69,Алгоритмы и структуры данных (Сем. 5),5,216,Зачет,50
70,Информационная безопасность (Сем. 6),6,252,Зачет,49
71,Алгоритмы и структуры данных (Сем. 5),5,144,Зачет,49
72,Архитектура ЭВМ (Сем. 6),6,252,Зачет,51
73,Алгоритмы и структуры данных (Сем. 5),5,36,Зачет,49
74,Теория автоматического управления (Сем. 6),6,180,Экзамен,49
75,Информационная безопасность (Сем. 5),5,216,Экзамен,51
76,Информационная безопасность (Сем. 6),6,144,Зачет,51
77,Объектно-ориентированное программирование (Сем. 5),5,72,Зачет,50
78,Объектно-ориентированное программирование (Сем. 6),6,252,Зачет,50
79,Иностранный язык (Сем. 5),5,108,Зачет,50
80,Сетевые технологии (Сем. 6),6,144,Экзамен,50
81,Объектно-ориентированное программирование (Сем. 5),5,144,Зачет,51
82,Информационная безопасность (Сем. 6),6,216,Экзамен,50
83,Объектно-ориентированное программирование (Сем. 5),5,144,Экзамен,49
84,Операционные системы (Сем. 6),6,252,Зачет,49
85,Безопасность жизнедеятельности (Сем. 5),5,108,Экзамен,50
86,Информационная безопасность (Сем. 6),6,108,Зачет,50
87,Алгоритмы и структуры данных (Сем. 5),5,36,Экзамен,50
88,Базы данных (Сем. 6),6,252,Экзамен,49
89,Сетевые технологии (Сем. 5),5,252,Экзамен,51
90,Операционные системы (Сем. 6),6,144,Экзамен,51
91,Взрывное дело (Сем. 7),7,216,Зачет,20
92,Маркшейдерия (Сем. 8),8,252,Экзамен,20
93,Общая геология (Сем. 7),7,108,Зачет,20
94,Транспортная логистика (Сем. 8),8,36,Экзамен,19
95,Горные машины (Сем. 7),7,252,Экзамен,21
96,Геомеханика (Сем. 8),8,180,Зачет,21
97,Геомеханика (Сем. 7),7,36,Зачет,20
98,Геомеханика (Сем. 8),8,216,Зачет,21
99,Проектирование карьеров (Сем. 7),7,216,Зачет,21
100,Взрывное дело (Сем. 8),8,144,Зачет,21
101,Геомеханика (Сем. 7),7,252,Экзамен,19
102,Взрывное дело (Сем. 8),8,72,Зачет,21
103,Обогащение полезных ископаемых (Сем. 7),7,108,Экзамен,20
104,Проектирование карьеров (Сем. 8),8,144,Экзамен,20
105,Геомеханика (Сем. 7),7,108,Зачет,21
106,Философия (Сем. 8),8,36,Экзамен,21
107,Транспортная логистика (Сем. 7),7,216,Зачет,21
108,Взрывное дело (Сем. 8),8,252,Экзамен,19
109,Обогащение полезных ископаемых (Сем. 7),7,216,Экзамен,20
110,Геомеханика (Сем. 8),8,144,Зачет,20
111,Геомеханика (Сем. 7),7,108,Зачет,20
112,Транспортная логистика (Сем. 8),8,36,Экзамен,20
113,Проектирование карьеров (Сем. 7),7,72,Экзамен,21
114,Горные машины (Сем. 8),8,36,Экзамен,20
115,Проектирование карьеров (Сем. 7),7,108,Экзамен,21
116,Горные машины (Сем. 8),8,36,Экзамен,21
117,Проектирование карьеров (Сем. 7),7,216,Зачет,19
118,Горные машины (Сем. 8),8,144,Зачет,20
119,Общая геология (Сем. 7),7,108,Зачет,19
120,Обогащение полезных ископаемых (Сем. 8),8,144,Экзамен,21
121,История России (Сем. 3),3,72,Экзамен,54
122,Базы данных (Сем. 4),4,72,Экзамен,54
123,Сетевые технологии (Сем. 3),3,252,Зачет,53
124,Архитектура ЭВМ (Сем. 4),4,252,Зачет,53
125,История России (Сем. 3),3,180,Экзамен,52
126,Иностранный язык (Сем. 4),4,216,Экзамен,52
127,Физическая культура и спорт (Сем. 3),3,36,Экзамен,52
128,Русский язык и культура речи (Сем. 4),4,180,Зачет,53
129,Иностранный язык (Сем. 3),3,216,Зачет,54
130,Базы данных (Сем. 4),4,216,Экзамен,53
131,Сетевые технологии (Сем. 3),3,144,Экзамен,54
132,Философия (Сем. 4),4,108,Экзамен,52
133,Правоведение (Сем. 3),3,108,Зачет,53
134,Русский язык и культура речи (Сем. 4),4,108,Зачет,53
135,Безопасность жизнедеятельности (Сем. 3),3,144,Экзамен,54
136,Безопасность жизнедеятельности (Сем. 4),4,216,Зачет,54
137,История России (Сем. 3),3,72,Экзамен,54
138,Объектно-ориентированное программирование (Сем. 4),4,252,Экзамен,53
139,Безопасность жизнедеятельности (Сем. 3),3,108,Экзамен,54
140,Правоведение (Сем. 4),4,144,Экзамен,53
141,Иностранный язык (Сем. 3),3,108,Экзамен,52
142,Русский язык и культура речи (Сем. 4),4,144,Зачет,54
143,Объектно-ориентированное программирование (Сем. 3),3,144,Экзамен,53
144,История России (Сем. 4),4,252,Зачет,54
145,Объектно-ориентированное программирование (Сем. 3),3,216,Зачет,53
146,Физическая культура и спорт (Сем. 4),4,108,Зачет,54
147,История России (Сем. 3),3,72,Зачет,54
148,Иностранный язык (Сем. 4),4,144,Зачет,52
149,Русский язык и культура речи (Сем. 3),3,180,Экзамен,54
150,Физическая культура и спорт (Сем. 4),4,36,Зачет,52
151,Правоведение (Сем. 3),3,36,Зачет,1
152,Философия (Сем. 4),4,144,Зачет,3
153,Механика жидкости и газа (Сем. 3),3,252,Зачет,2
154,Физическая культура и спорт (Сем. 4),4,72,Зачет,1
155,Сопротивление материалов (Сем. 3),3,252,Экзамен,2
156,Механика жидкости и газа (Сем. 4),4,108,Зачет,1
157,Иностранный язык (Сем. 3),3,252,Зачет,1
158,Безопасность жизнедеятельности (Сем. 4),4,108,Зачет,3
159,Механика жидкости и газа (Сем. 3),3,144,Зачет,1
160,Начертательная геометрия (Сем. 4),4,180,Зачет,1
161,Механика жидкости и газа (Сем. 3),3,36,Зачет,3
162,Правоведение (Сем. 4),4,144,Зачет,3
163,Сопротивление материалов (Сем. 3),3,144,Экзамен,1
164,Физическая культура и спорт (Сем. 4),4,108,Экзамен,2
165,Безопасность жизнедеятельности (Сем. 3),3,36,Экзамен,2
166,Сопротивление материалов (Сем. 4),4,36,Зачет,2
167,Русский язык и культура речи (Сем. 3),3,144,Экзамен,2
168,Механика жидкости и газа (Сем. 4),4,108,Зачет,3
169,История России (Сем. 3),3,72,Зачет,1
170,Механика жидкости и газа (Сем. 4),4,36,Экзамен,2
171,Иностранный язык (Сем. 3),3,36,Экзамен,2
172,Оборудование литейных цехов (Сем. 4),4,108,Зачет,2
173,Физическая культура и спорт (Сем. 3),3,144,Экзамен,1
174,Физическая культура и спорт (Сем. 4),4,252,Зачет,3
175,Безопасность жизнедеятельности (Сем. 3),3,180,Экзамен,1
176,Иностранный язык (Сем. 4),4,144,Зачет,3
177,Правоведение (Сем. 3),3,144,Зачет,3
178,История России (Сем. 4),4,144,Зачет,3
179,Безопасность жизнедеятельности (Сем. 3),3,216,Зачет,2
180,Начертательная геометрия (Сем. 4),4,144,Зачет,1
181,Физическая культура и спорт (Сем. 3),3,108,Зачет,15
182,Правоведение (Сем. 4),4,216,Зачет,14
183,Правоведение (Сем. 3),3,216,Экзамен,15
184,Оборудование литейных цехов (Сем. 4),4,252,Экзамен,15
185,Начертательная геометрия (Сем. 3),3,216,Экзамен,15
186,Правоведение (Сем. 4),4,216,Экзамен,15
187,Русский язык и культура речи (Сем. 3),3,216,Экзамен,14
188,Теория металлургических процессов (Сем. 4),4,180,Зачет,15
189,Иностранный язык (Сем. 3),3,108,Зачет,13
190,Правоведение (Сем. 4),4,180,Зачет,15
191,Иностранный язык (Сем. 3),3,252,Экзамен,14
192,Термическая обработка металлов (Сем. 4),4,252,Зачет,15
193,Металловедение (Сем. 3),3,144,Экзамен,13
194,Начертательная геометрия (Сем. 4),4,252,Зачет,15
195,Правоведение (Сем. 3),3,144,Экзамен,14
196,Безопасность жизнедеятельности (Сем. 4),4,108,Зачет,15
197,Русский язык и культура речи (Сем. 3),3,108,Экзамен,15
198,История России (Сем. 4),4,180,Зачет,15
199,История России (Сем. 3),3,216,Зачет,15
200,Безопасность жизнедеятельности (Сем. 4),4,36,Экзамен,13
201,Оборудование литейных цехов (Сем. 3),3,144,Экзамен,13
202,Физическая культура и спорт (Сем. 4),4,72,Зачет,14
203,Русский язык и культура речи (Сем. 3),3,216,Зачет,15
204,Сопротивление материалов (Сем. 4),4,144,Экзамен,14
205,Иностранный язык (Сем. 3),3,36,Зачет,13
206,Философия (Сем. 4),4,252,Зачет,13
207,Проектирование цехов (Сем. 3),3,180,Зачет,13
208,Философия (Сем. 4),4,36,Зачет,13
209,Русский язык и культура речи (Сем. 3),3,216,Экзамен,13
210,Начертательная геометрия (Сем. 4),4,72,Экзамен,13
211,Сетевые технологии (Сем. 5),5,180,Экзамен,121
212,Операционные системы (Сем. 6),6,252,Экзамен,122
213,Операционные системы (Сем. 5),5,72,Зачет,121
214,Объектно-ориентированное программирование (Сем. 6),6,72,Экзамен,122
215,Сетевые технологии (Сем. 5),5,180,Зачет,121
216,Объектно-ориентированное программирование (Сем. 6),6,72,Зачет,123
217,Базы данных (Сем. 5),5,144,Зачет,122
218,Базы данных (Сем. 6),6,144,Экзамен,123
219,Правоведение (Сем. 5),5,252,Зачет,122
220,Объектно-ориентированное программирование (Сем. 6),6,36,Зачет,122
221,Базы данных (Сем. 5),5,144,Зачет,121
222,Теория автоматического управления (Сем. 6),6,180,Экзамен,121
223,Теория автоматического управления (Сем. 5),5,144,Зачет,122
224,Информационная безопасность (Сем. 6),6,36,Экзамен,123
225,Сетевые технологии (Сем. 5),5,144,Зачет,121
226,Алгоритмы и структуры данных (Сем. 6),6,144,Зачет,123
227,Безопасность жизнедеятельности (Сем. 5),5,108,Зачет,122
228,Алгоритмы и структуры данных (Сем. 6),6,36,Экзамен,121
229,История России (Сем. 5),5,216,Зачет,121
230,Теория автоматического управления (Сем. 6),6,216,Экзамен,122
231,Информационная безопасность (Сем. 5),5,252,Экзамен,122
232,Теория автоматического управления (Сем. 6),6,36,Экзамен,121
233,Сетевые технологии (Сем. 5),5,252,Экзамен,122
234,Теория автоматического управления (Сем. 6),6,36,Зачет,123
235,Информационная безопасность (Сем. 5),5,252,Экзамен,123
236,Архитектура ЭВМ (Сем. 6),6,36,Экзамен,122
237,Архитектура ЭВМ (Сем. 5),5,108,Зачет,121
238,Операционные системы (Сем. 6),6,180,Зачет,121
239,Объектно-ориентированное программирование (Сем. 5),5,36,Экзамен,122
240,Теория автоматического управления (Сем. 6),6,72,Зачет,122
241,Архитектурное проектирование (Сем. 1),1,36,Экзамен,55
242,Строительная механика (Сем. 2),2,216,Экзамен,56
243,Безопасность жизнедеятельности (Сем. 1),1,144,Зачет,56
244,Правоведение (Сем. 2),2,180,Экзамен,56
245,Иностранный язык (Сем. 1),1,216,Зачет,57
246,История России (Сем. 2),2,72,Зачет,57
247,Философия (Сем. 1),1,108,Экзамен,55
248,История архитектуры (Сем. 2),2,108,Экзамен,55
249,Безопасность жизнедеятельности (Сем. 1),1,72,Экзамен,56
250,Философия (Сем. 2),2,180,Зачет,55
251,Русский язык и культура речи (Сем. 1),1,36,Зачет,55
252,История России (Сем. 2),2,252,Зачет,57
253,Безопасность жизнедеятельности (Сем. 1),1,216,Зачет,56
254,История России (Сем. 2),2,108,Экзамен,57
255,Русский язык и культура речи (Сем. 1),1,108,Экзамен,56
256,Урбанистика (Сем. 2),2,144,Зачет,57
257,Правоведение (Сем. 1),1,108,Зачет,55
258,Философия (Сем. 2),2,36,Экзамен,57
259,Правоведение (Сем. 1),1,108,Зачет,57
260,Железобетонные конструкции (Сем. 2),2,72,Экзамен,55
261,Философия (Сем. 1),1,180,Экзамен,57
262,Правоведение (Сем. 2),2,216,Зачет,56
263,Строительные материалы (Сем. 1),1,216,Зачет,57
264,Безопасность жизнедеятельности (Сем. 2),2,36,Зачет,56
265,Правоведение (Сем. 1),1,108,Экзамен,56
266,Иностранный язык (Сем. 2),2,144,Зачет,55
267,Правоведение (Сем. 1),1,108,Экзамен,57
268,Архитектурное проектирование (Сем. 2),2,180,Зачет,56
269,Правоведение (Сем. 1),1,216,Экзамен,56
270,Урбанистика (Сем. 2),2,108,Зачет,57
271,История России (Сем. 1),1,144,Экзамен,128
272,Теория и методика физкультуры (Сем. 2),2,180,Экзамен,127
273,Безопасность жизнедеятельности (Сем. 1),1,144,Экзамен,128
274,Иностранный язык (Сем. 2),2,144,Зачет,128
275,История России (Сем. 1),1,252,Зачет,127
276,Физическая культура и спорт (Сем. 2),2,216,Зачет,128
277,Правоведение (Сем. 1),1,216,Экзамен,128
278,Русский язык и культура речи (Сем. 2),2,72,Зачет,128
279,Менеджмент в спорте (Сем. 1),1,216,Зачет,127
280,История России (Сем. 2),2,108,Зачет,129
281,Спортивная медицина (Сем. 1),1,216,Экзамен,129
282,Физическая культура и спорт (Сем. 2),2,108,Экзамен,128
283,Философия (Сем. 1),1,108,Зачет,127
284,Философия (Сем. 2),2,72,Экзамен,128
285,Теория и методика физкультуры (Сем. 1),1,180,Экзамен,129
286,Правоведение (Сем. 2),2,180,Экзамен,129
287,Философия (Сем. 1),1,72,Экзамен,129
288,Безопасность жизнедеятельности (Сем. 2),2,108,Экзамен,128
289,Правоведение (Сем. 1),1,216,Зачет,127
290,Иностранный язык (Сем. 2),2,252,Зачет,127
291,Физическая культура и спорт (Сем. 1),1,144,Зачет,128
292,Психология спорта (Сем. 2),2,180,Зачет,127
293,Психология спорта (Сем. 1),1,72,Зачет,127
294,Правоведение (Сем. 2),2,108,Экзамен,129
295,Теория и методика физкультуры (Сем. 1),1,108,Экзамен,127
296,Физическая культура и спорт (Сем. 2),2,72,Зачет,127
297,Спортивная медицина (Сем. 1),1,252,Зачет,128
298,Физиология человека (Сем. 2),2,36,Зачет,129
299,Безопасность жизнедеятельности (Сем. 1),1,36,Зачет,127
300,История России (Сем. 2),2,252,Зачет,127
