history_id,employee_id,change_date,new_salary
165,67,2024-10-27,41267
166,68,2019-07-06,44722
167,69,2020-01-04,39822
168,69,2021-11-23,56704
169,70,2025-09-11,35041
170,70,2026-02-22,67535
171,71,2024-08-28,91880
172,71,2025-08-11,93264
173,72,2006-03-14,111924
174,72,2021-03-16,144842
175,73,2017-04-04,110828
176,73,2022-03-27,136542
177,74,2025-03-17,74970
178,75,2003-11-05,45075
179,76,2007-07-31,55932
180,76,2021-08-22,80001
181,77,2008-09-23,70644
182,77,2013-10-27,83025
183,78,2025-12-25,73193
184,78,2025-12-26,124080
185,79,2023-12-02,37055
186,79,2024-06-20,43617
187,80,1994-04-19,47842
188,80,2006-10-05,107908
189,80,2011-10-31,115332
190,80,2023-01-30,116099
191,81,2021-11-24,69532
192,81,2023-04-29,85309
193,82,2011-10-20,41641
194,82,2012-12-25,43163
195,82,2015-05-11,50590
196,82,2016-09-12,61392
197,82,2018-01-27,90488
198,83,1997-10-19,68200
199,83,2005-03-25,71830
200,83,2015-09-09,94357
201,83,2025-03-14,105481
202,83,2025-06-24,108146
203,84,2007-09-17,72714
204,84,2013-08-04,79290
205,84,2026-03-13,121678
206,85,2026-01-23,81502
207,85,2026-02-12,106469
208,86,2022-03-06,103905
209,86,2025-04-23,131384
210,87,2023-09-17,127153
211,88,2022-12-25,33527
212,88,2023-04-01,53583
213,88,2023-07-09,90505
214,88,2023-07-20,102102
215,88,2023-10-16,114593
216,89,2015-03-27,43739
217,89,2017-09-01,49092
218,89,2018-08-21,58734
219,89,2025-07-21,75405
220,89,2026-03-17,77606
221,90,2025-04-12,125813
222,91,2023-06-27,48242
223,91,2023-07-08,83627
224,91,2024-10-12,95444
225,91,2026-02-24,107000
226,92,1992-10-03,45861
227,92,1995-11-27,46559
228,92,2013-12-27,77196
229,93,2003-10-05,54706
230,93,2005-10-07,57730
231,93,2016-08-04,69444
232,94,2026-03-23,102277
233,95,2024-05-20,82534
234,95,2024-05-26,92814
235,95,2024-07-28,100040
236,95,2025-12-14,106315
237,95,2026-04-07,134155
238,96,2018-12-27,84827
239,96,2021-01-25,120663
240,96,2023-05-29,125990
241,97,2000-09-03,53562
242,97,2009-08-07,65186
243,97,2014-10-22,68683
244,98,2023-09-03,32784
245,98,2024-05-08,33583
246,98,2025-10-02,46582
247,99,2023-12-22,51548
248,99,2024-11-02,51780
249,99,2026-04-28,57477
250,100,2011-07-26,72401
251,100,2019-06-12,81588
252,101,2018-08-18,103822
253,101,2018-11-01,114545
254,101,2021-07-24,148864
255,102,2021-02-18,51731
256,102,2022-07-15,56189
257,102,2025-08-30,73972
258,103,1993-05-03,31382
259,103,2007-01-31,42924
260,103,2009-05-20,43886
261,103,2010-12-25,86420
262,103,2019-06-07,103517
263,104,2021-12-22,63467
264,104,2022-09-18,70735
265,105,2019-08-15,48284
266,105,2023-07-01,49022
267,105,2025-04-11,58136
268,106,2011-09-27,37242
269,106,2014-09-30,44607
270,106,2025-02-14,48418
271,107,2009-01-12,60347
272,107,2015-03-07,94496
273,108,2023-08-17,107147
274,108,2025-02-10,120496
275,108,2025-08-31,140898
276,109,2002-06-06,33219
277,109,2013-05-06,75215
278,109,2018-03-23,102518
279,110,2012-12-07,68722
280,110,2017-05-12,149540
281,111,1996-01-24,35626
282,111,2021-06-22,68906
283,112,2025-03-03,43804
284,113,2024-02-16,48569
285,113,2024-09-13,70880
286,113,2025-04-03,74966
287,113,2025-09-02,75656
288,113,2026-03-08,101261
289,114,1980-08-14,43557
290,114,2006-05-27,91645
291,115,2002-12-26,75652
292,115,2008-04-01,92411
293,115,2022-06-02,100515
294,116,2020-11-06,67742
295,117,1975-12-07,71800
296,117,1978-02-26,89303
297,117,1998-01-28,138567
298,118,2023-11-27,42540
299,119,1997-07-14,125215
300,120,2025-11-02,31480
301,120,2025-11-29,52483
302,120,2026-03-02,72411
303,121,2016-06-05,40771
304,121,2017-12-17,45985
305,121,2025-02-12,71266
306,122,1992-08-16,40494
307,122,2019-01-04,66169
308,122,2020-05-30,68569
309,123,2022-08-19,85885
310,123,2026-04-08,119415
311,124,2000-03-12,36044
312,124,2013-03-16,37597
313,124,2015-08-17,43272
314,124,2022-12-25,50635
315,124,2025-06-09,54168
316,125,2026-04-17,91990
317,126,2011-06-19,33826
318,126,2020-11-19,81849
319,126,2022-08-26,131382
320,127,2022-06-18,55863
321,127,2023-06-27,88926
322,127,2025-07-25,144363
323,128,1998-08-27,30145
324,128,2002-02-17,42741
325,128,2012-01-03,49038
326,129,2026-03-18,36743
327,129,2026-03-23,39120
328,129,2026-04-04,53833
329,130,2023-11-16,38200
330,130,2024-05-21,43336
331,130,2025-09-28,97080
332,131,2013-06-14,54505
333,131,2021-06-04,100371
334,131,2024-06-06,145932
335,132,2014-03-16,42915
336,132,2017-03-10,82245
337,133,2016-03-23,64387
338,133,2017-04-20,99087
339,134,2025-09-03,94157
340,134,2025-11-25,99168
341,134,2026-02-27,127580
342,135,2014-12-26,37486
343,135,2018-05-11,50539
344,135,2018-09-06,55469
345,135,2022-07-09,55725
346,135,2024-08-02,63834
347,136,2010-12-14,60006
348,136,2022-02-06,76655
349,137,2016-06-16,39746
350,137,2016-12-14,50135
351,137,2019-08-16,51221
352,138,2016-12-07,47556
353,138,2020-01-10,118094
354,138,2022-06-23,139374
355,139,2025-12-23,61270
356,139,2026-01-25,143931
357,140,2020-03-15,53992
358,140,2021-07-10,130673
359,141,1989-07-15,48528
360,141,2004-02-08,102031
361,142,1997-03-25,57409
362,142,2011-03-31,69087
363,142,2022-06-10,86112
364,143,2017-01-30,55814
365,144,2022-05-19,42173
366,144,2026-02-16,65105
367,145,2025-06-11,100435
368,145,2025-08-16,139641
369,146,2023-04-22,41353
370,146,2023-09-25,66366
371,146,2025-02-13,69816
372,147,2000-01-27,56591
373,148,2001-10-31,42261
374,148,2012-12-15,78290
375,149,2024-12-09,37389
376,149,2026-05-03,41607
377,150,2020-10-25,30628
378,150,2021-06-16,53529
379,150,2025-10-17,64164
380,151,2014-10-18,55575
381,151,2025-09-09,147756
382,152,2023-04-05,96248
383,152,2024-04-06,103607
384,152,2024-07-19,115599
385,152,2025-08-11,122502
386,153,2013-05-30,46112
387,153,2022-10-11,51164
388,154,1998-01-30,88176
389,154,2002-12-22,118135
390,155,2014-09-16,40835
391,155,2018-09-24,98028
392,156,2022-05-20,58905
393,156,2023-02-02,68284
394,156,2026-03-12,114531
395,157,2021-07-07,121987
396,158,2021-08-02,48918
397,158,2024-05-08,71439
398,159,2023-05-18,93545
399,160,2023-05-28,42165
400,160,2026-03-07,44278
401,161,2023-07-16,46230
402,161,2024-07-29,48013
403,161,2025-01-30,49329
404,162,1980-01-24,44969
405,162,2016-10-26,65112
406,162,2019-05-15,95723
407,163,2017-02-27,78085
408,163,2020-08-12,137909
409,163,2022-08-09,148348
410,164,2016-02-29,35453
411,164,2021-05-27,87850
412,164,2025-08-14,117993
413,165,2023-02-07,43423
414,165,2024-03-27,85725
415,165,2024-11-17,131715
416,166,1989-11-12,62444
417,166,1998-03-06,69021
418,166,2023-02-23,104722
419,167,2024-06-15,34224
420,167,2025-06-09,64447
421,167,2025-10-28,88947
422,167,2025-12-29,136276
423,168,2018-12-27,35700
424,168,2025-04-04,70005
425,169,2021-08-17,31923
426,169,2025-10-27,45273
427,170,2017-05-20,43754
428,170,2020-02-17,45528
429,170,2021-02-07,63788
430,171,2017-05-24,51755
431,171,2021-08-06,75957
432,171,2022-04-29,86120
433,171,2024-01-30,101605
434,172,2018-07-04,36770
435,172,2018-09-02,55717
436,172,2023-05-13,61079
437,173,2013-12-03,37780
438,173,2018-03-29,75982
439,173,2018-05-13,104720
440,173,2019-07-31,126846
441,174,2024-08-10,52069
442,174,2025-11-01,72421
443,174,2026-05-01,99614
444,175,2000-04-12,65041
445,175,2017-03-24,67923
446,175,2021-01-27,68356
447,175,2024-08-15,105069
448,175,2024-12-12,141259
449,176,1991-06-03,42481
450,176,1999-05-07,47771
451,176,2003-09-13,83948
452,176,2021-04-12,97425
453,176,2021-10-28,100552
454,177,2026-03-31,46631
455,177,2026-03-31,47392
456,177,2026-04-08,66349
457,177,2026-04-09,115969
458,177,2026-04-27,121609
459,178,2022-06-10,51108
460,178,2024-04-23,75003
461,179,2007-10-21,42868
462,179,2009-09-08,52158
463,179,2010-03-07,54951
464,179,2013-04-26,55915
465,180,1987-04-08,105684
466,180,2009-10-18,133032
467,181,2025-04-02,57146
468,181,2025-10-10,71144
469,181,2026-03-31,93476
470,182,2018-03-08,32474
471,182,2024-08-23,55396
472,183,2025-12-20,42202
473,183,2026-03-26,130779
474,183,2026-04-01,132459
475,184,2016-06-25,48233
476,184,2018-05-25,71946
477,185,2021-02-22,78374
478,185,2022-12-19,89597
479,185,2025-04-25,118561
480,186,2024-04-21,30162
481,186,2024-12-30,51449
482,186,2025-10-22,68139
483,186,2026-01-15,80733
484,186,2026-03-17,84548
485,187,2022-01-14,42208
486,187,2023-02-23,90089
487,187,2023-03-19,125804
488,187,2024-02-08,149769
489,188,2012-04-02,38300
490,188,2012-09-23,76952
491,188,2014-10-16,103483
492,189,2016-10-30,58551
493,189,2018-07-04,82129
494,189,2019-02-14,99682
495,190,2010-11-12,43883
496,190,2017-01-22,47598
497,190,2017-08-14,62421
498,190,2023-04-09,84057
499,190,2024-05-10,90196
500,191,2018-05-20,48585
501,191,2025-02-08,81704
502,192,2025-05-31,105750
503,192,2026-03-08,126991
504,193,1977-05-25,105836
505,194,2001-03-28,36021
506,194,2003-01-31,36345
507,194,2007-08-25,75054
508,194,2019-11-19,108937
509,195,2018-12-16,125823
510,196,2005-04-27,32134
511,196,2006-08-07,90238
512,196,2011-03-20,121691
513,197,2026-04-17,89808
514,198,2025-05-13,30011
515,198,2025-05-30,37230
516,198,2025-08-24,37479
517,198,2026-04-21,44705
518,199,2022-05-16,47290
519,199,2024-06-13,56518
520,199,2024-09-22,86072
521,199,2024-12-13,120255
522,199,2025-08-10,137880
523,200,2000-12-16,50837
524,200,2016-10-19,65916
525,200,2018-08-09,69566
526,200,2024-04-19,98153
527,201,1999-04-22,82516
528,202,2025-10-20,32700
529,202,2026-05-03,59080
530,203,2020-05-17,59615
531,203,2024-09-04,62280
532,204,1988-08-07,36787
533,204,2012-05-15,81949
534,204,2018-06-06,129539
535,205,2026-02-09,45344
536,205,2026-03-01,58130
537,205,2026-04-16,70433
538,206,1994-05-26,42475
539,206,2017-12-27,122235
540,206,2019-07-30,127404
541,207,2025-03-19,128815
542,208,2025-09-03,38696
543,208,2026-01-25,79210
544,209,2026-03-15,59167
545,209,2026-04-18,64042
546,209,2026-05-03,66111
547,210,2006-05-18,89986
548,211,2004-04-06,45806
549,211,2010-07-18,137100
550,211,2012-04-26,148794
551,212,2006-05-27,39283
552,212,2007-10-11,47324
553,212,2008-06-21,85353
554,212,2019-10-26,92613
555,212,2024-08-08,119482
556,213,2025-08-09,41708
557,213,2025-10-26,119569
558,214,1987-03-18,36712
559,214,1988-05-21,36763
560,214,2006-02-18,72850
561,215,2003-08-22,69223
562,215,2013-12-01,143364
563,216,2020-08-14,51813
564,217,2012-05-05,38725
565,217,2016-05-12,39362
566,217,2018-12-10,66318
567,218,2019-06-08,105771
568,219,2010-08-17,109995
569,219,2012-01-08,115199
570,219,2021-08-09,145708
571,220,1995-05-30,101385
572,221,2011-01-20,57925
573,221,2024-11-29,145458
574,222,1991-09-06,39920
575,222,1999-02-17,56981
576,222,2013-07-03,74663
577,223,2012-09-12,58992
578,223,2013-10-29,86358
579,223,2020-07-11,89941
580,224,2000-07-30,31646
581,224,2012-05-18,43280
582,225,2005-03-27,123283
583,226,2018-04-21,55292
584,227,2003-10-29,76076
585,227,2009-05-15,86280
586,227,2010-12-21,104569
587,228,2022-11-02,39163
588,228,2025-12-06,90940
589,229,2013-04-10,114491
590,229,2022-12-24,116983
591,230,2019-09-21,120694
592,231,2022-04-04,108644
593,231,2026-01-28,124526
594,231,2026-03-16,130476
595,232,2013-12-17,75251
596,232,2014-05-07,81050
597,232,2015-07-21,87537
598,233,2024-04-10,124518
599,234,2024-11-14,36732
600,234,2025-03-09,39884
601,234,2026-02-05,46965
602,234,2026-03-28,56011
603,235,1978-10-03,33090
604,235,1990-02-24,42252
605,235,2018-09-09,42799
606,236,2013-01-08,114694
607,236,2025-10-07,143150
608,237,2008-12-07,116858
609,238,2018-04-05,61370
610,238,2018-06-18,80578
611,238,2021-03-21,94865
612,238,2023-11-28,141498
613,239,2021-04-15,76342
614,240,2015-12-20,107847
615,240,2017-07-16,144662
616,241,2022-02-07,41947
617,242,2020-05-15,30790
618,242,2022-01-22,50740
619,242,2022-12-11,53664
620,242,2024-06-07,82437
621,243,2014-05-01,137218
622,244,2022-09-28,52645
623,244,2023-12-02,77895
624,244,2025-07-09,85163
625,244,2025-11-12,98756
626,245,2008-11-30,32187
627,245,2015-06-23,39567
628,245,2026-04-25,106039
629,246,2024-09-22,30903
630,246,2024-11-05,47182
631,246,2026-01-10,79535
632,247,1994-02-01,37925
633,247,2022-02-04,102781
634,248,2015-10-27,67550
635,248,2015-11-26,82163
636,248,2019-02-27,96402
637,248,2022-11-21,112388
638,248,2025-08-17,133375
639,249,2025-01-05,84451
640,249,2025-03-10,85518
641,249,2026-01-05,119730
642,250,2006-12-07,40803
643,250,2014-02-02,113956
644,250,2023-12-10,122978
645,251,2026-01-20,40006
646,251,2026-02-07,70373
647,251,2026-02-11,78652
648,252,2026-01-06,70620
649,252,2026-02-03,143952
650,253,2004-09-09,96370
651,254,2016-04-13,50365
652,254,2017-02-07,72827
653,254,2018-11-06,100305
654,254,2018-11-12,135914
655,254,2023-01-18,148451
656,255,2018-10-25,38665
657,255,2019-10-19,95936
658,256,2008-11-02,87342
659,256,2015-11-21,130023
660,257,2019-01-05,37589
661,257,2020-01-06,61278
662,257,2020-05-08,96606
663,258,2020-09-11,86948
664,258,2024-08-11,112924
665,259,2009-04-04,83207
666,260,2025-08-28,33606
667,260,2026-02-03,50269
668,260,2026-02-25,77700
669,261,1995-11-04,37827
670,261,2018-04-21,41511
671,261,2021-06-13,67884
672,262,2021-03-22,85890
673,263,2025-08-26,69643
674,264,2008-06-14,128470
675,265,2024-04-13,52721
676,265,2024-07-30,63647
677,266,2021-06-04,81313
678,266,2021-11-17,83903
679,266,2022-05-27,86009
680,267,2022-09-02,51884
681,267,2025-03-31,78741
682,267,2025-12-13,126159
683,268,2000-02-22,137794
684,269,2001-09-12,38806
685,269,2004-09-24,54016
686,269,2024-08-11,60631
687,270,2006-08-24,33847
688,270,2010-06-24,73910
689,270,2010-08-03,86272
690,270,2019-08-30,118148
691,271,2025-06-24,38371
692,271,2025-11-27,138885
693,272,2011-01-22,105582
694,272,2012-11-01,126761
695,273,1990-12-05,59831
696,273,1999-09-27,62515
697,273,2003-03-23,75804
698,274,1995-11-13,37266
699,274,1997-04-16,95484
700,274,1999-12-25,96349
701,275,2010-08-24,50618
702,275,2011-03-10,51873
703,275,2021-02-24,78193
704,275,2022-12-03,109066
705,276,2008-02-17,33371
706,276,2023-04-27,47180
707,277,2010-11-24,45117
708,277,2013-03-17,118358
709,277,2016-09-23,124736
710,277,2023-03-13,140160
711,278,1989-08-14,96692
712,278,2025-08-17,105193
713,279,2023-04-26,132231
714,280,2025-07-12,30805
715,280,2025-10-16,33013
716,280,2025-12-28,46026
717,280,2026-05-03,92044
718,281,2017-05-31,55098
719,281,2020-10-12,81033
720,282,2009-02-01,31158
721,282,2010-05-07,35864
722,282,2015-08-20,48116
723,282,2016-05-15,53397
724,282,2019-01-28,55096
725,283,2017-10-07,59427
726,283,2024-03-27,84967
727,283,2025-02-07,145030
728,284,2022-03-03,84559
729,284,2023-08-08,97240
730,285,2009-06-23,40208
731,285,2009-09-14,65554
732,285,2013-01-07,71934
733,285,2018-08-06,104912
734,285,2020-09-16,108676
735,286,2025-11-24,62901
736,286,2025-12-28,69041
737,287,2005-04-28,36903
738,287,2015-07-31,53507
739,287,2020-10-24,122998
740,288,2012-05-12,63801
741,288,2025-07-28,86019
742,289,2006-11-10,34517
743,289,2010-05-20,48501
744,289,2011-12-13,56275
745,289,2016-06-15,60480
746,289,2024-08-01,65856
747,290,2024-04-07,70723
748,290,2024-06-24,72899
749,290,2024-08-21,141298
750,291,2003-12-11,98838
751,292,2016-06-16,78354
752,292,2017-12-27,97640
753,293,1988-03-12,103899
754,293,2007-07-21,117518
755,294,2014-10-17,61795
756,294,2015-03-07,90807
757,294,2024-04-16,100521
758,295,2021-05-23,46166
759,295,2024-09-30,50057
760,296,2005-05-08,30835
761,296,2005-08-24,49735
762,296,2010-02-18,55614
763,296,2016-10-27,62129
764,296,2023-03-17,100648
765,297,2012-06-30,31566
766,297,2014-10-14,45269
767,297,2018-01-19,52703
768,297,2022-04-20,65490
769,297,2023-10-22,82143
770,298,2024-04-24,30314
771,298,2024-08-18,52723
772,298,2025-07-31,53566
773,299,1994-01-12,30191
774,299,1994-08-12,70306
775,299,1998-05-31,79319
776,299,2003-10-15,116154
777,299,2006-10-23,124689
778,300,2026-04-04,108690
779,301,2008-11-12,45608
780,301,2015-06-15,57513
781,301,2021-05-05,93578
782,302,1995-08-09,31962
783,302,2007-07-06,48639
784,303,2001-06-20,32877
785,303,2003-09-18,36096
786,303,2014-05-31,39330
787,303,2023-10-05,48338
788,303,2026-01-07,73029
789,304,2006-05-02,57070
790,304,2006-05-17,64062
791,304,2013-08-20,75930
792,304,2018-01-29,85410
793,304,2025-09-08,85851
794,305,2017-08-18,41128
795,305,2017-12-02,90091
796,305,2019-10-23,106122
797,305,2026-01-28,117993
798,306,2023-05-31,146585
799,307,1986-10-21,124675
800,308,1995-07-16,34904
801,308,1998-11-04,67212
802,308,2003-04-29,68790
803,308,2021-12-14,80483
804,309,2021-05-07,65166
805,310,1989-04-26,38566
806,310,1997-05-23,45517
807,310,2020-03-11,78770
808,311,2025-04-24,43941
809,311,2025-06-18,44947
810,312,2021-04-20,81505
811,312,2023-08-23,118282
812,313,2024-07-01,72762
813,313,2024-11-26,126384
814,313,2025-05-26,146042
815,314,2007-07-21,47822
816,314,2019-10-07,87749
817,315,2022-02-16,56569
818,315,2024-06-18,138617
819,316,2005-04-04,145987
820,317,2024-02-05,44283
821,317,2025-06-26,50369
822,317,2025-08-27,128907
823,318,2017-06-23,105916
824,319,2013-10-13,40290
825,319,2020-05-16,58140
826,320,1987-01-27,100244
827,320,2007-12-17,112684
828,321,1976-03-26,43607
829,321,1985-02-06,77363
830,322,2026-02-02,90731
831,322,2026-02-22,107286
832,323,2005-09-13,45717
833,323,2006-08-15,147046
834,324,2019-01-04,46980
835,325,1991-07-14,31321
836,325,1996-08-18,39968
837,325,2002-02-27,49769
838,325,2009-03-07,50696
839,326,2019-02-14,142272
840,326,2019-05-04,149992
841,327,2005-11-13,35977
842,327,2010-08-29,77601
843,328,2018-02-11,76627
844,328,2022-03-19,81936
845,328,2026-01-09,98799
846,329,2026-03-10,47050
847,329,2026-03-15,49584
848,329,2026-04-20,68266
849,330,1990-01-23,32036
850,330,1998-06-09,41394
851,330,2001-01-30,92396
852,330,2014-09-07,95476
853,331,1998-05-07,44817
854,331,2014-08-27,55970
855,332,2024-06-16,38187
856,332,2024-12-12,48026
857,332,2025-08-23,48232
858,333,2002-08-24,110261
859,334,2008-02-26,134181
860,335,2017-04-05,30783
861,335,2021-12-27,37959
862,335,2025-09-04,86244
863,336,1994-02-28,108614
864,337,1994-10-07,47133
865,337,1996-10-25,59135
866,337,2000-06-04,106496
867,338,2023-09-05,123318
868,339,2013-10-21,74976
869,339,2023-12-30,86805
870,340,2001-08-29,41015
871,340,2003-10-02,114500
872,340,2022-09-25,136362
873,341,2000-11-15,46962
874,341,2015-12-13,83264
875,341,2025-05-01,84374
876,342,2009-10-14,122802
877,343,2002-01-16,33239
878,343,2004-12-11,37265
879,343,2016-07-17,40583
880,343,2016-09-18,44786
881,343,2022-02-22,44847
882,344,2019-07-17,36027
883,344,2019-09-24,38029
884,344,2021-06-24,51728
885,344,2023-01-18,81365
886,345,1998-03-01,73202
887,346,2002-03-30,41009
888,346,2006-08-31,86789
889,347,2020-07-09,42943
890,347,2021-08-05,44193
891,347,2022-11-30,46257
892,347,2025-01-13,53738
893,347,2026-01-18,56315
894,348,1995-02-02,90678
895,349,2016-10-04,41325
896,349,2018-07-31,53196
897,349,2022-08-01,88148
898,350,2025-01-07,54530
899,350,2025-09-12,96440
900,351,2014-02-13,44614
901,351,2018-07-24,50494
902,352,2026-02-28,34541
903,352,2026-03-15,110492
904,352,2026-04-30,111156
905,352,2026-05-05,118986
906,353,2020-06-19,68680
907,353,2020-07-12,95390
908,353,2025-12-04,98606
909,354,2001-02-26,92787
910,354,2008-09-13,97008
911,355,2010-07-30,127973
912,356,2021-11-21,34496
913,356,2024-04-25,58714
914,357,2024-03-29,114233
915,357,2024-04-23,142041
916,358,1986-09-10,62656
917,358,1990-09-06,98919
918,358,1995-03-06,112674
919,358,2003-09-07,119310
920,359,2022-05-09,32559
921,359,2022-06-04,77069
922,359,2023-11-24,80134
923,359,2024-12-21,92873
924,359,2026-03-19,98188
925,360,2011-05-12,52546
926,360,2018-04-04,61763
927,360,2019-10-21,92171
928,361,2010-10-27,34430
929,361,2018-07-02,35269
930,361,2020-06-03,36363
931,361,2021-09-14,38231
932,361,2023-11-22,43396
933,362,2004-01-28,55435
934,363,2013-10-18,58707
935,363,2020-01-25,120199
936,364,2026-01-17,56074
937,365,2009-08-17,37679
938,365,2016-10-28,66822
939,365,2023-01-05,91824
940,365,2024-10-26,133502
941,366,2009-10-22,106544
942,366,2015-01-19,130511
943,366,2020-05-27,133000
944,367,1994-06-15,33281
945,367,1996-08-29,35230
946,367,2007-01-27,38121
947,367,2009-07-09,51524
948,367,2014-07-13,60644
949,368,2024-08-01,47487
950,368,2026-01-08,55907
951,369,1995-07-17,30916
952,369,2007-05-20,42075
953,369,2008-03-12,42518
954,369,2022-01-09,43445
955,370,2018-06-23,58758
956,370,2019-12-10,105457
957,370,2020-11-24,134515
958,370,2022-02-02,140953
959,370,2025-08-25,145337
960,371,1999-11-22,41384
961,371,2008-04-06,80539
962,372,2010-05-29,93843
963,373,2001-09-03,75719
964,373,2010-03-22,78372
965,373,2017-12-27,81553
966,374,2024-08-25,49384
967,374,2024-11-15,56821
968,375,2022-01-02,105911
969,376,2023-05-22,66936
970,376,2023-12-20,67201
971,376,2024-06-15,79862
972,377,2007-12-14,108012
973,378,1994-04-16,53010
974,378,1994-05-19,70508
975,378,1998-01-18,94517
976,378,2009-01-22,101057
977,378,2009-12-31,123238
978,379,2015-12-30,41830
979,379,2016-09-29,109924
980,380,2024-10-09,116106
981,381,1990-07-17,31306
982,381,1994-08-01,64501
983,381,1998-08-09,84252
984,382,2021-01-11,35435
985,382,2025-05-27,45958
986,383,2014-08-27,47103
987,383,2015-02-08,53260
988,383,2015-04-24,56406
989,383,2016-09-27,74663
990,383,2018-03-06,121016
991,384,2025-02-16,32872
992,384,2025-05-04,37806
993,384,2025-08-13,49360
994,384,2026-01-02,72413
995,384,2026-04-22,124136
996,385,2005-03-23,44538
997,385,2018-10-15,48566
